"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bryan De La Cruz","MIA","115","355","13","38","43","4","5.4%","25.4%",".179",".304",".252",".294",".432",".313","","104","-1.2","0.4","-7.0","0.6","19600"
"Jose Azocar","SDP","98","216","0","24","10","5","5.6%","20.4%",".074",".327",".257",".298",".332",".278","","81","-1.6","-6.3","4.3","0.5","18821"
"Jorge Soler","MIA","72","306","13","32","34","0","10.1%","29.4%",".193",".256",".207",".295",".400",".305","","98","-0.8","-1.4","-3.6","0.5","14221"
"A.J. Pollock","CHW","138","527","14","61","56","3","6.1%","18.6%",".143",".278",".245",".292",".389",".297","","92","-1.5","-6.0","-5.6","0.5","9256"
"Jonathan Davis","MIL","37","91","0","9","4","7","15.4%","28.6%",".013",".340",".224",".344",".237",".278","","77","1.7","-0.7","2.8","0.5","15104"
"Kerry Carpenter","DET","31","113","6","16","10","0","5.3%","28.3%",".233",".303",".252",".310",".485",".342","","126","-0.1","3.1","-1.6","0.5","25961"
"T.J. Friedl","CIN","72","258","8","33","25","7","7.8%","15.5%",".196",".251",".240",".314",".436",".323","","101","0.9","1.3","-4.8","0.5","19522"
"Nick Allen","OAK","100","326","4","31","19","3","5.8%","19.6%",".084",".250",".207",".256",".291",".245","","61","0.5","-13.8","8.5","0.5","22277"
"Enrique Hernandez","BOS","93","402","6","48","45","0","8.5%","17.7%",".116",".257",".222",".291",".338",".280","","75","-0.7","-12.0","4.2","0.5","10472"
"Odubel Herrera","PHI","62","197","5","23","21","6","5.6%","21.3%",".141",".281",".238",".279",".378",".287","","82","0.8","-3.3","1.6","0.5","11476"
"Nolan Gorman","STL","89","313","14","44","35","1","8.9%","32.9%",".194",".301",".226",".300",".420",".316","","107","-0.1","2.4","-8.0","0.5","22263"
"Martin Maldonado","HOU","113","379","15","40","45","0","5.8%","30.6%",".166",".228",".186",".248",".352",".264","","70","-3.9","-16.6","9.4","0.5","6887"
"Stone Garrett","ARI","27","84","4","13","10","3","3.6%","32.1%",".263",".370",".276",".309",".539",".360","","131","-0.1","3.0","-1.1","0.5","19273"
"Alek Thomas","ARI","113","411","8","45","39","4","5.4%","18.0%",".113",".263",".231",".275",".344",".272","","71","1.8","-11.8","2.7","0.5","23792"
"Salvador Perez","KCR","114","473","23","48","76","0","3.8%","23.0%",".211",".285",".254",".292",".465",".324","","108","-3.2","1.3","-11.6","0.5","7304"
"Sam Huff","TEX","44","132","4","9","10","1","8.3%","31.8%",".132",".333",".240",".303",".372",".296","","92","0.4","-0.8","1.4","0.5","22209"
"David Bote","CHC","41","127","4","15","12","1","4.7%","35.4%",".172",".382",".259",".315",".431",".325","","110","-0.2","1.3","-0.8","0.5","14593"
"Donovan Solano","CIN","80","304","4","22","24","0","6.3%","20.1%",".101",".349",".284",".339",".385",".319","","98","-2.0","-2.6","-3.0","0.5","8623"
"Jorge Alfaro","SDP","82","274","7","25","40","1","4.0%","35.8%",".137",".364",".246",".285",".383",".291","","90","0.0","-3.2","-1.4","0.5","12180"
"Brian Serven","COL","62","205","6","19","16","0","6.3%","21.5%",".128",".232",".203",".261",".332",".263","","52","-0.9","-12.3","9.9","0.5","19422"
"Jake Cave","MIN","54","177","5","17","20","2","6.2%","27.7%",".171",".268",".213",".260",".384",".278","","81","0.9","-3.0","1.8","0.5","14477"
"Jake Marisnick","PIT","31","82","2","9","6","2","4.9%","29.3%",".156",".314",".234",".272",".390",".283","","80","-0.5","-2.3","4.0","0.5","11339"
"Jason Vosler","SFG","36","111","4","14","12","1","9.0%","26.1%",".204",".333",".265",".342",".469",".349","","127","-0.3","3.2","-2.6","0.5","16686"
"Brian Anderson","MIA","98","383","8","43","28","1","9.7%","26.4%",".124",".291",".222",".311",".346",".293","","90","-0.1","-4.5","-4.1","0.5","18289"
"Cesar Hernandez","WSN","147","617","1","64","34","10","7.3%","18.5%",".070",".309",".248",".311",".318",".283","","79","-0.8","-15.9","-0.6","0.5","10556"
"Corey Dickerson","STL","97","297","6","28","36","0","4.0%","16.2%",".132",".301",".267",".300",".399",".303","","98","-0.4","-1.2","-4.6","0.4","10762"
"Carson Kelly","ARI","104","354","7","40","35","2","8.2%","20.1%",".123",".247",".211",".282",".334",".275","","73","-0.4","-11.4","3.7","0.4","13620"
"Curt Casali","- - -","57","176","5","20","17","0","13.6%","28.4%",".128",".263",".203",".318",".331",".295","","92","0.1","-1.5","-0.3","0.4","12510"
"Oswald Peraza","NYY","18","57","1","8","2","2","10.5%","15.8%",".122",".359",".306",".404",".429",".371","","146","-0.7","2.3","-0.1","0.4","22823"
"Matt Reynolds","- - -","93","272","3","31","23","5","9.6%","28.7%",".086",".348",".246",".320",".332",".293","","81","0.3","-5.8","0.5","0.4","13788"
"Darick Hall","PHI","42","142","9","19","16","0","3.5%","31.0%",".272",".301",".250",".282",".522",".343","","120","-0.5","2.8","-3.8","0.4","19717"
"Johan Camargo","PHI","52","166","3","8","15","0","7.8%","22.3%",".079",".295",".237",".297",".316",".276","","74","0.6","-4.3","2.5","0.4","14950"
"Jonathan India","CIN","103","431","10","48","41","3","7.2%","21.8%",".130",".305",".249",".327",".378",".314","","95","-1.0","-3.5","-7.2","0.4","21523"
"Jesse Winker","SEA","136","547","14","51","53","0","15.4%","18.8%",".125",".251",".219",".344",".344",".313","","108","-4.3","1.0","-14.7","0.4","13590"
"Rougned Odor","BAL","135","472","13","49","53","6","6.8%","23.1%",".150",".244",".207",".275",".357",".278","","80","1.4","-9.4","-1.9","0.4","12282"
"Austin Wynns","SFG","66","177","3","14","21","0","5.6%","21.5%",".099",".320",".259",".313",".358",".298","","92","-2.5","-4.0","1.8","0.4","15271"
"Alan Trejo","COL","35","125","4","15","17","1","4.0%","24.8%",".153",".337",".271",".312",".424",".321","","92","0.1","-1.0","0.5","0.4","20056"
"Taylor Trammell","SEA","43","117","4","15","10","2","11.1%","28.2%",".206",".242",".196",".284",".402",".300","","99","-0.5","-0.6","0.4","0.4","19960"
"Bubba Thompson","TEX","55","181","1","18","9","18","3.9%","30.9%",".047",".389",".265",".302",".312",".274","","77","3.6","-1.2","-1.1","0.4","22261"
"James McCann","NYM","61","191","3","19","18","3","5.8%","24.1%",".086",".244",".195",".257",".282",".243","","59","0.3","-8.7","5.8","0.4","12859"
"Albert Almora Jr.","CIN","64","235","5","26","29","3","7.2%","19.6%",".126",".261",".223",".282",".349",".279","","71","-3.0","-10.9","6.5","0.4","14109"
"Drew Waters","KCR","32","109","5","14","18","0","11.0%","36.7%",".240",".353",".240",".324",".479",".347","","125","-0.2","2.9","-2.9","0.4","20505"
"Nick Ahmed","ARI","17","54","3","7","7","0","3.7%","27.8%",".212",".265",".231",".259",".442",".302","","92","0.1","-0.4","2.0","0.4","12147"
"Edward Olivares","KCR","53","174","4","24","15","2","5.7%","20.7%",".124",".344",".286",".333",".410",".326","","110","0.5","2.5","-4.7","0.4","19698"
"Victor Robles","WSN","132","407","6","42","33","15","4.2%","25.6%",".087",".292",".224",".273",".311",".260","","64","2.8","-14.3","3.9","0.3","18363"
"Triston Casas","BOS","27","95","5","11","12","1","20.0%","24.2%",".211",".208",".197",".358",".408",".344","","120","-1.1","1.0","-0.8","0.3","22514"
"Jake Meyers","HOU","52","160","1","13","15","2","4.4%","33.8%",".087",".344",".227",".269",".313",".258","","65","0.6","-5.7","3.8","0.3","20308"
"Luke Williams","- - -","79","136","1","21","6","11","6.6%","32.4%",".079",".354",".236",".287",".315",".265","","71","1.1","-3.5","2.1","0.3","19931"
"Tyler Naquin","- - -","105","334","11","47","46","4","5.7%","27.8%",".194",".291",".229",".282",".423",".303","","93","2.3","-0.5","-7.7","0.3","13359"
"Mitch Garver","TEX","54","215","10","23","24","1","10.7%","24.7%",".197",".228",".207",".298",".404",".308","","101","0.4","0.5","-4.4","0.3","15161"
"Andrew McCutchen","MIL","134","580","17","66","69","8","9.8%","21.4%",".148",".278",".237",".316",".384",".309","","98","-4.1","-5.3","-11.3","0.3","9847"
"Andrew Velazquez","LAA","125","349","9","37","28","17","4.3%","34.1%",".109",".274",".196",".236",".304",".239","","50","4.6","-15.1","6.9","0.3","14196"
"Eric Hosmer","- - -","104","419","8","38","44","0","8.8%","15.3%",".113",".304",".268",".334",".382",".313","","104","-5.1","-3.0","-8.2","0.3","3516"
"Roman Quinn","- - -","44","87","0","15","7","4","8.0%","41.4%",".089",".395",".215",".287",".304",".266","","73","0.3","-2.5","2.4","0.3","13546"
"Josh Lowe","TBR","52","198","2","24","13","3","7.6%","33.3%",".122",".336",".221",".284",".343",".276","","83","2.1","-1.7","-1.9","0.3","19953"
"Luis Gonzalez","SFG","98","350","4","31","36","10","8.6%","21.4%",".106",".316",".254",".323",".360",".302","","95","0.6","-1.3","-7.9","0.3","20332"
"Jake Burger","CHW","51","183","8","20","26","0","5.5%","30.6%",".208",".324",".250",".302",".458",".327","","113","-1.0","1.6","-5.0","0.3","22275"
"Raimel Tapia","TOR","128","433","7","47","52","8","3.7%","18.7%",".114",".315",".265",".292",".380",".293","","90","2.0","-2.7","-8.7","0.3","14350"
"LaMonte Wade Jr.","SFG","77","251","8","29","26","1","10.4%","20.3%",".152",".233",".207",".305",".359",".298","","93","0.8","-1.4","-4.7","0.2","18126"
"Luis Barrera","OAK","32","85","1","3","7","3","7.1%","20.0%",".104",".283",".234",".294",".338",".280","","86","-0.8","-2.1","1.6","0.2","19615"
"Greg Allen","PIT","46","134","2","17","8","8","7.5%","31.3%",".085",".267",".186",".260",".271",".242","","52","2.7","-4.8","2.4","0.2","16623"
"Ryan Kreidler","DET","26","84","1","8","6","0","7.1%","26.2%",".055",".231",".178",".244",".233",".218","","38","0.7","-5.1","4.5","0.2","25867"
"Christian Arroyo","BOS","87","300","6","32","36","5","4.3%","16.3%",".129",".326",".286",".322",".414",".319","","102","-3.2","-2.4","-5.2","0.2","16434"
"Mauricio Dubon","- - -","104","265","5","31","24","2","4.9%","11.3%",".099",".221",".214",".252",".313",".248","","58","-0.8","-13.2","6.6","0.2","16530"
"Jason Delay","PIT","57","167","1","17","11","0","5.4%","29.9%",".058",".308",".213",".265",".271",".243","","53","-1.8","-11.0","7.3","0.2","19806"
"Elehuris Montero","COL","53","185","6","21","20","0","4.3%","32.4%",".199",".318",".233",".270",".432",".303","","79","0.3","-4.2","-0.2","0.2","20543"
"Francisco Mejia","TBR","93","299","6","32","31","0","2.3%","21.7%",".138",".292",".242",".264",".381",".279","","85","-2.4","-7.4","-0.3","0.2","16403"
"Kyle Stowers","BAL","34","98","3","11","11","0","5.1%","29.6%",".165",".339",".253",".306",".418",".316","","107","-0.9","-0.2","-1.2","0.2","26151"
"Skye Bolt","OAK","42","116","4","10","13","5","6.0%","25.9%",".132",".233",".198",".259",".330",".261","","73","1.1","-2.5","0.5","0.2","17723"
"Luke Voit","- - -","135","568","22","55","69","1","9.7%","31.5%",".176",".298",".226",".308",".402",".311","","102","-6.2","-5.0","-12.4","0.2","14811"
"Dermis Garcia","OAK","39","125","5","13","20","0","6.4%","44.0%",".181",".339",".207",".264",".388",".285","","90","-0.2","-1.7","-0.6","0.2","20926"
"Nick Madrigal","CHC","59","228","0","19","7","3","6.1%","11.8%",".033",".286",".249",".305",".282",".267","","70","-0.4","-8.2","2.2","0.2","20521"
"Austin Nola","SDP","110","397","4","40","40","2","8.6%","15.1%",".078",".284",".251",".321",".329",".290","","89","-0.8","-5.9","-5.8","0.2","15941"
"Jordan Luplow","ARI","83","234","11","26","28","5","10.7%","25.6%",".185",".185",".176",".274",".361",".281","","78","0.3","-5.8","-0.5","0.2","16424"
"Derek Hill","DET","31","92","1","8","3","3","5.4%","30.4%",".060",".327",".229",".270",".289",".249","","60","0.8","-3.3","2.0","0.2","16947"
"Nomar Mazara","SDP","55","171","2","16","18","0","5.8%","23.4%",".088",".342",".264",".316",".352",".297","","94","0.0","-1.1","-3.1","0.2","14553"
"Nolan Jones","CLE","28","94","2","10","13","0","8.5%","33.0%",".128",".358",".244",".309",".372",".297","","93","-0.8","-1.6","0.1","0.2","20529"
"P.J. Higgins","CHC","74","229","6","23","30","0","9.6%","25.3%",".154",".290",".229",".310",".383",".306","","97","-1.2","-2.0","-4.3","0.1","18433"
"Kyle Garlick","MIN","66","162","9","23","18","0","4.9%","29.6%",".200",".277",".233",".284",".433",".311","","104","1.1","1.8","-5.6","0.1","18063"
"Yadier Molina","STL","80","270","5","19","24","2","1.9%","14.8%",".088",".234",".214",".233",".302",".235","","51","-4.4","-19.7","12.0","0.1","7007"
"Brett Phillips","- - -","83","225","5","22","15","7","7.1%","41.8%",".104",".233",".144",".217",".249",".213","","38","3.8","-11.9","6.0","0.1","14735"
"Shea Langeliers","OAK","40","153","6","14","22","0","5.9%","34.6%",".211",".294",".218",".261",".430",".296","","97","-0.3","-0.8","-2.8","0.1","25816"
"Gavin Sheets","CHW","124","410","15","34","53","0","6.6%","21.0%",".170",".272",".241",".295",".411",".308","","100","-2.6","-2.7","-9.2","0.1","19901"
"Charlie Blackmon","COL","135","577","16","60","78","4","5.5%","18.9%",".155",".304",".264",".314",".419",".317","","89","1.4","-5.9","-12.3","0.1","7859"
"Pavin Smith","ARI","75","277","9","24","33","1","10.1%","24.2%",".147",".262",".220",".300",".367",".294","","87","0.5","-3.8","-4.4","0.1","19892"
"Yu Chang","- - -","69","190","4","19","15","0","8.4%","31.1%",".107",".290",".208",".289",".315",".273","","78","-1.5","-6.4","1.4","0.1","14773"
"Edwin Rios","LAD","27","92","7","12","17","0","5.4%","39.1%",".256",".326",".244",".293",".500",".338","","120","-0.7","1.5","-3.6","0.1","18316"
"Paul DeJong","STL","77","237","6","19","25","3","8.9%","33.3%",".129",".213",".157",".245",".286",".241","","55","-0.7","-13.0","5.9","0.1","18015"
"Connor Wong","BOS","27","56","1","8","7","0","8.9%","28.6%",".125",".250",".188",".273",".313",".263","","63","0.8","-1.6","0.6","0.1","19896"
"Ezequiel Duran","TEX","58","220","5","25","25","4","5.5%","24.5%",".130",".295",".236",".277",".365",".282","","82","-0.2","-4.7","-1.6","0.1","23733"
"Nelson Velazquez","CHC","77","206","6","20","26","5","9.2%","31.6%",".168",".281",".205",".286",".373",".291","","87","0.1","-3.0","-3.3","0.1","23359"
"Nick Solak","TEX","35","95","3","14","4","3","7.4%","20.0%",".122",".233",".207",".309",".329",".291","","89","0.6","-0.6","-1.7","0.1","19294"
"Matt Wallner","MIN","18","65","2","4","10","1","9.2%","38.5%",".158",".367",".228",".323",".386",".311","","104","0.4","0.7","-2.1","0.1","26466"
"Juan Yepez","STL","76","274","12","27","30","0","5.8%","22.3%",".194",".283",".253",".296",".447",".319","","109","-1.7","1.2","-9.8","0.1","18400"
"Jake Hager","ARI","28","59","0","4","3","0","13.6%","28.8%",".040",".364",".240",".345",".280",".291","","84","0.5","-0.5","-1.0","0.0","12198"
"Marwin Gonzalez","NYY","86","207","6","20","18","3","6.8%","26.1%",".136",".222",".185",".255",".321",".257","","65","-1.1","-9.2","3.1","0.0","5497"
"Josh Smith","TEX","73","253","2","23","16","4","11.1%","19.8%",".052",".244",".197",".307",".249",".262","","68","0.3","-8.9","1.2","0.0","26396"
"Colin Moran","CIN","42","128","5","11","23","0","12.5%","23.4%",".165",".234",".211",".305",".376",".300","","86","-0.9","-3.1","-0.8","0.0","16909"
"Luis Garcia","WSN","93","377","7","29","45","3","2.9%","22.3%",".133",".337",".275",".295",".408",".303","","93","-2.5","-5.6","-6.7","0.0","20391"
"Daz Cameron","DET","21","70","1","6","8","2","7.1%","28.6%",".125",".302",".219",".286",".344",".280","","82","1.1","-0.3","-1.6","0.0","18353"
"Adalberto Mondesi","KCR","15","54","0","3","3","5","7.4%","37.0%",".000",".233",".140",".204",".140",".166","","-3","1.0","-5.3","3.9","0.0","13769"
"Max Stassi","LAA","102","375","9","32","30","0","10.1%","29.9%",".123",".239",".180",".267",".303",".258","","63","-2.7","-18.2","6.5","0.0","10059"
"Sergio Alcantara","- - -","93","224","6","26","29","1","5.4%","25.4%",".137",".267",".220",".261",".356",".269","","70","-0.1","-7.8","0.5","0.0","16417"
"Rene Pinto","TBR","25","83","2","5","10","0","2.4%","42.2%",".113",".349",".213",".241",".325",".249","","64","-0.7","-4.1","1.7","0.0","19859"
"Terrin Vavra","BAL","40","103","1","14","12","0","11.7%","18.4%",".079",".310",".258",".340",".337",".303","","97","-1.7","-2.0","-1.0","0.0","24400"
"Brandon Belt","SFG","78","298","8","25","23","1","12.4%","27.2%",".138",".277",".213",".326",".350",".303","","96","-1.0","-2.3","-7.5","0.0","10264"
"Buddy Kennedy","ARI","30","94","1","10","12","0","8.5%","24.5%",".108",".279",".217",".287",".325",".271","","71","0.1","-3.0","0.0","0.0","22505"
"Ben Gamel","PIT","115","423","9","42","46","5","11.3%","23.2%",".137",".291",".232",".324",".369",".308","","97","1.4","0.0","-14.1","0.0","12160"
"Romy Gonzalez","CHW","32","109","2","15","11","0","1.8%","35.8%",".114",".354",".238",".257",".352",".264","","69","-0.6","-4.4","1.1","0.0","21562"
"Alejo Lopez","CIN","61","156","1","15","10","3","5.8%","13.5%",".069",".301",".262",".314",".331",".286","","76","-0.3","-4.6","-0.6","0.0","21127"
"Jose Herrera","ARI","47","124","0","9","5","0","7.3%","27.4%",".018",".273",".189",".250",".207",".213","","31","0.6","-9.4","5.0","0.0","17040"
"Mike Zunino","TBR","36","123","5","7","16","0","4.9%","37.4%",".157",".185",".148",".195",".304",".219","","43","0.0","-7.9","3.7","0.0","13265"
"Connor Joe","COL","111","467","7","56","28","6","11.8%","20.8%",".121",".296",".238",".338",".359",".314","","87","-0.3","-7.4","-8.5","0.0","16572"
"Luke Raley","TBR","22","72","1","7","4","0","9.7%","33.3%",".082",".297",".197",".306",".279",".271","","80","0.1","-1.5","-1.0","0.0","19354"
"Jordan Groshans","MIA","17","65","1","9","2","0","6.2%","20.0%",".049",".319",".262",".308",".311",".278","","80","-0.3","-1.8","-0.7","0.0","23794"
"Matt Vierling","PHI","117","357","6","41","32","7","6.4%","19.6%",".105",".290",".246",".297",".351",".285","","81","0.5","-7.5","-4.9","0.0","21558"
"Gilberto Celestino","MIN","122","347","2","30","24","4","9.2%","22.2%",".064",".310",".238",".313",".302",".280","","82","-4.6","-11.7","0.2","0.0","20233"
"Patrick Mazeika","NYM","24","72","1","4","6","0","2.8%","12.5%",".103",".207",".191",".214",".294",".222","","45","-0.1","-4.7","1.7","-0.1","18142"
"Tyler Freeman","CLE","24","86","0","9","3","1","4.7%","12.8%",".039",".284",".247",".314",".286",".274","","76","0.0","-2.3","-1.0","-0.1","22532"
"Bobby Dalbec","BOS","117","353","12","40","39","3","8.2%","33.4%",".155",".293",".215",".283",".369",".287","","80","1.7","-6.3","-5.6","-0.1","19966"
"Jeimer Candelario","DET","124","467","13","49","50","0","6.0%","23.3%",".145",".257",".217",".272",".361",".277","","80","-2.7","-13.2","-2.3","-0.1","13621"
"Chad Pinder","OAK","111","379","12","38","42","2","3.7%","31.1%",".150",".313",".235",".263",".385",".281","","86","-0.2","-6.0","-6.8","-0.1","15191"
"Spencer Steer","CIN","28","108","2","12","8","0","10.2%","24.1%",".116",".269",".211",".306",".326",".287","","76","0.0","-3.0","-1.5","-0.1","26323"
"Aramis Garcia","CIN","47","115","1","6","4","0","2.6%","29.6%",".046",".301",".213",".248",".259",".228","","36","-2.2","-10.7","6.0","-0.1","16925"
"Diego Castillo","PIT","96","283","11","28","29","1","4.9%","26.5%",".176",".239",".206",".251",".382",".272","","73","-0.4","-9.2","-1.2","-0.1","19906"
"Dominic Smith","NYM","58","152","0","11","17","0","7.9%","24.3%",".090",".263",".194",".276",".284",".254","","67","1.7","-4.2","-1.9","-0.1","15653"
"Jackie Bradley Jr.","- - -","132","370","4","30","38","2","6.5%","20.8%",".108",".251",".203",".255",".311",".252","","56","-0.7","-18.9","6.2","-0.1","12984"
"Matt Duffy","LAA","77","247","2","14","16","0","6.9%","20.2%",".061",".313",".250",".308",".311",".279","","78","-1.8","-7.9","-1.0","-0.1","13836"
"Yairo Munoz","PHI","29","60","3","7","7","1","5.0%","16.7%",".193",".205",".211",".250",".404",".283","","80","0.4","-1.1","-2.0","-0.1","16313"
"Josh Jung","TEX","26","102","5","9","14","2","3.9%","38.2%",".214",".278",".204",".235",".418",".280","","81","-1.8","-4.0","-0.4","-0.1","26299"
"Tucupita Marcano","PIT","49","177","2","18","13","2","5.6%","24.9%",".100",".270",".206",".256",".306",".249","","57","1.0","-7.8","0.8","-0.1","22871"
"Cal Stevenson","OAK","23","71","0","5","1","1","11.3%","32.4%",".050",".263",".167",".261",".217",".224","","47","-0.1","-4.3","0.9","-0.1","22411"
"Jarred Kelenic","SEA","54","181","7","20","17","5","8.8%","33.7%",".172",".167",".141",".221",".313",".238","","55","-0.5","-9.6","2.7","-0.1","22558"
"Kevin Smith","OAK","47","151","2","9","13","4","4.6%","27.8%",".122",".237",".180",".216",".302",".226","","48","-0.6","-9.5","3.5","-0.1","20242"
"Matt Thaiss","LAA","29","81","2","9","8","1","13.6%","29.6%",".101",".295",".217",".321",".319",".286","","83","0.0","-1.5","-2.3","-0.1","19318"
"Mark Contreras","MIN","28","61","3","9","6","1","1.6%","34.4%",".172",".114",".121",".148",".293",".189","","18","0.6","-5.1","1.9","-0.1","20122"
"Jerar Encarnacion","MIA","23","81","3","7","14","2","3.7%","39.5%",".156",".256",".182",".210",".338",".236","","51","0.4","-4.2","0.2","-0.1","21871"
"Yadiel Hernandez","WSN","94","327","9","30","41","2","5.8%","22.6%",".141",".326",".269",".312",".410",".315","","101","-5.2","-4.7","-7.6","-0.1","19334"
